Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,Princeton University,The Ivy League,Football,NJ,97,100,,
2011,2017-2018,Purdue University,Big Ten Conference,Football,IN,77,64,,
2011,2017-2018,University of Rhode Island,Colonial Athletic Association,Football,RI,76,58,,
2011,2017-2018,Rice University,Conference USA,Football,TX,87,77,,
2011,2017-2018,University of Richmond,Colonial Athletic Association,Football,VA,82,73,,
2011,2017-2018,Robert Morris University,Northeast Conference,Football,PA,70,45,,
2011,2017-2018,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,Football,NJ,78,55,,
2011,2017-2018,Sacred Heart University,Northeast Conference,Football,CT,83,59,,
2011,2017-2018,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,86,65,,
2011,2017-2018,Sam Houston State University,Southland Conference,Football,TX,55,50,,
2011,2017-2018,Samford University,Southern Conference,Football,AL,93,78,,
2011,2017-2018,San Diego State University,Mountain West Conference,Football,CA,74,70,,
2011,2017-2018,University of San Diego,Pioneer Football League,Football,CA,89,,,
2011,2017-2018,San Jose State University,Mountain West Conference,Football,CA,80,74,,
2011,2017-2018,Savannah State University,Mid-Eastern Athletic Conf.,Football,GA,34,30,,
2011,2017-2018,University of South Alabama,Sun Belt Conference,Football,AL,66,55,,
2011,2017-2018,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,68,63,,
2011,2017-2018,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,93,63,,
2011,2017-2018,South Dakota State University,Missouri Valley Football Conference,Football,SD,76,67,,
2011,2017-2018,University of South Dakota,Missouri Valley Football Conference,Football,SD,79,56,,
2011,2017-2018,University of South Florida,American Athletic Conference,Football,FL,76,72,,
2011,2017-2018,Southeast Missouri State University,Ohio Valley Conference,Football,MO,66,61,,
2011,2017-2018,Southeastern Louisiana University,Southland Conference,Football,LA,71,51,,
2011,2017-2018,University of Southern California,Pac-12 Conference,Football,CA,76,60,,
2011,2017-2018,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,76,62,,
2011,2017-2018,Southern Methodist University,American Athletic Conference,Football,TX,71,62,,
2011,2017-2018,The University of Southern Mississippi,Conference USA,Football,MS,75,61,,
2011,2017-2018,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,47,42,,
2011,2017-2018,Southern Utah University,Big Sky Conference,Football,UT,77,72,,
2011,2017-2018,Missouri State University,Missouri Valley Football Conference,Football,MO,62,53,,
2011,2017-2018,Texas State University,Sun Belt Conference,Football,TX,71,63,,
2011,2017-2018,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,74,61,,
2011,2017-2018,Stanford University,Pac-12 Conference,Football,CA,95,88,,
2011,2017-2018,Stephen F. Austin State University,Southland Conference,Football,TX,44,40,,
2011,2017-2018,Stony Brook University,Colonial Athletic Association,Football,NY,82,67,,
2011,2017-2018,Syracuse University,Atlantic Coast Conference,Football,NY,85,70,,
2011,2017-2018,Temple University,American Athletic Conference,Football,PA,81,65,,
2011,2017-2018,Tennessee State University,Ohio Valley Conference,Football,TN,50,37,,
2011,2017-2018,Tennessee Technological University,Ohio Valley Conference,Football,TN,81,70,,
2011,2017-2018,University of Tennessee at Chattanooga,Southern Conference,Football,TN,80,64,,
2011,2017-2018,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,74,59,,
2011,2017-2018,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,75,63,,
2011,2017-2018,"Texas A&M University, College Station",Southeastern Conference,Football,TX,71,60,,
2011,2017-2018,Texas Christian University,Big 12 Conference,Football,TX,70,58,,
2011,2017-2018,Texas Southern University,Southwestern Athletic Conf.,Football,TX,58,39,,
2011,2017-2018,Texas Tech University,Big 12 Conference,Football,TX,76,65,,
