ds,yhat,yhat_lower,yhat_upper,zipcode
2018-02-01,1547979.4234970135,1517406.9522784762,1580691.8179749742,94061
2018-03-01,1575116.188575307,1540137.2853422503,1612134.1237759579,94061
2018-04-01,1582665.1396269626,1543174.7437426574,1624697.6109997057,94061
2018-05-01,1594042.9944089258,1549252.8784772584,1641469.018456694,94061
2018-06-01,1599419.7565646202,1544058.9831494493,1653851.9273232126,94061
2018-07-01,1612301.7044823766,1547176.7845612073,1679248.6772155594,94061
2018-08-01,1621935.537351968,1546815.0754708648,1700698.4466099858,94061
2018-09-01,1628795.3428609953,1540708.1095349374,1726233.7468230913,94061
2018-10-01,1638852.087317923,1534951.7479519045,1733922.7450211402,94061
2018-11-01,1649982.1220211883,1538926.011572961,1765501.8943339768,94061
2018-12-01,1662927.153587747,1531432.2404437824,1795441.3638784285,94061
2018-01-01,1932311.1120021825,1896212.7864756742,1969209.3516464785,94062
2018-02-01,1933904.7692759698,1892951.35873256,1970179.6760769621,94062
2018-03-01,1961307.212641674,1916671.9363702713,2005115.7762893995,94062
2018-04-01,1966447.9836062551,1914824.6591185322,2011283.0054453595,94062
2018-05-01,1975422.1526533074,1914453.7122858283,2033201.3767613072,94062
2018-06-01,1978560.4238648452,1895690.020393298,2048257.9929826118,94062
2018-07-01,1989523.5410251466,1892992.6518783271,2073479.335196323,94062
2018-08-01,1997362.337676546,1872256.1599541905,2095472.506240924,94062
2018-09-01,2001407.7904376886,1859134.546919461,2105292.1850635083,94062
2018-10-01,2010730.0419484188,1850070.784110023,2144493.5052666813,94062
2018-11-01,2021754.0564584201,1819032.1578088964,2168306.631535458,94062
2018-12-01,2033566.7486231923,1824366.215561056,2223727.285435494,94062
2018-01-01,1050042.1410487962,1029616.4945291305,1070102.2944546824,94063
2018-02-01,1062003.2452587346,1039964.9802857044,1084198.750758815,94063
2018-03-01,1064967.5903100106,1044122.8967156595,1086255.277725993,94063
2018-04-01,1078352.8707070888,1054787.170582919,1102059.0821162977,94063
2018-05-01,1085652.8624648647,1057968.3623535396,1113357.4753766996,94063
2018-06-01,1097661.104298497,1067563.753213534,1128416.2221570283,94063
2018-07-01,1107082.7350951598,1070456.774273246,1143057.4199383222,94063
2018-08-01,1123006.1595229993,1077783.1435054268,1167686.4534399055,94063
2018-09-01,1135603.7116305905,1079784.8359478496,1187885.8474452626,94063
2018-10-01,1144247.5472203402,1081906.6504931524,1203188.1751631966,94063
2018-11-01,1159480.4049415928,1088368.8236838279,1230298.3003199862,94063
2018-12-01,1170211.4915112169,1086856.233213602,1247256.1326286832,94063
2018-01-01,1873998.954105587,1856520.2887510958,1890546.1057660095,94065
2018-02-01,1885735.2278895758,1867765.19921666,1902892.170370447,94065
2018-03-01,1900656.0752549262,1879757.684404968,1922115.3840395722,94065
2018-04-01,1915521.9801142323,1886010.8831618677,1945273.5095177502,94065
2018-05-01,1929402.5305456836,1890983.9162076155,1971662.9816514745,94065
2018-06-01,1941984.6199342024,1891475.6477561,1993299.7389860218,94065
2018-07-01,1955264.762014161,1896653.1062400897,2016619.4211410633,94065
2018-08-01,1971684.1756485286,1900962.7899723332,2048402.8077098166,94065
2018-09-01,1985567.815704046,1897318.8594603317,2078136.0104204034,94065
2018-10-01,1997764.6024290822,1892105.7547322647,2102637.5464092917,94065
2018-11-01,2013539.871488834,1893336.3289826391,2138326.9170967042,94065
2018-12-01,2028059.5874973126,1889041.82491556,2172698.1343154884,94065
2018-01-01,1053084.07776145,1038810.1910905833,1067368.419122054,94066
2018-02-01,1060013.756623231,1044473.7608265646,1075385.9591393957,94066
2018-03-01,1065700.0864753362,1050265.9131289318,1082814.2771349596,94066
2018-04-01,1074301.3101701138,1052253.2960994565,1095260.1029330632,94066
2018-05-01,1081302.479776605,1048577.8954076595,1109496.3110712257,94066
2018-06-01,1088973.8128407612,1047794.1889092026,1124371.8749711106,94066
2018-07-01,1096127.5064265272,1043552.1715458725,1139828.5030954846,94066
2018-08-01,1106190.0088206292,1043497.0743933328,1161600.399137875,94066
2018-09-01,1114729.3448144519,1041666.7330797922,1179794.1592427543,94066
2018-10-01,1121564.5632475403,1036553.0935187201,1202620.5467628976,94066
